Number,W2V_fasttext_0,W2V_fasttext_score0,W2V_fasttext_1,W2V_fasttext_score1,W2V_fasttext_2,W2V_fasttext_score2,W2V_fasttext_3,W2V_fasttext_score3,W2V_fasttext_4,W2V_fasttext_score4
17186,,,,,,,,,,
17185,4170,0.9999269643763526,4723,0.9999431143223878,453,0.9999907615709606,12866,0.9999908304002418,17182,1.0
17184,217,0.6655378631491518,14349,0.6659902671176537,15438,0.6665458184580518,8674,0.6669348116166238,11840,0.6679981973004433
17183,1046,0.6248269510404212,173,0.626378963532768,13199,0.6350853374684221,163,0.9981926238406583,3285,0.9982964788155385
17182,4170,0.9999269643763526,4723,0.9999431143223878,453,0.9999907615709606,12866,0.9999908304002418,17185,1.0
17181,10352,0.9999395883774844,1858,0.999940800194484,3144,0.9999445693372815,2857,0.9999463344099778,4203,0.9999505589014593
17180,9996,0.9999899615469803,14427,0.9999899679327098,4749,0.9999900254050392,5021,0.9999900862413651,10450,0.9999901228058665
17179,,,,,,,,,,
17178,,,,,,,,,,
17177,15563,0.618478434762106,16402,0.619123176607758,16933,0.6199023169939165,12031,0.620873906416915,1005,0.6297026444259154
17174,17172,0.9999937688401601,11781,0.9999943445858349,9281,0.9999951156978203,17173,0.9999962692796089,5372,0.9999972585935305
17173,17056,0.9999993977039232,17054,0.9999993977039232,17043,0.9999996518792367,17042,0.9999996518792367,17172,0.9999996810870208
17172,17157,0.9999999427383499,17056,0.9999999553296448,17054,0.9999999553296448,17043,0.9999999993602245,17042,0.9999999993602245
17171,2439,0.7246847623582655,1417,0.7247300787545963,5139,0.7249868579129758,3094,0.725543646503367,14973,0.998906391142815
17170,17040,1.0,17030,1.0,16882,1.0,16573,1.0,16555,1.0
17169,13880,0.9011791588231847,3310,0.9014050389063752,10808,0.9017660086773515,8219,0.9025518827089234,9510,0.9037883552354765
17168,12588,0.9999733597583239,15700,0.9999733994631185,10814,0.9999738354292842,13607,0.9999750137273704,1927,0.9999755019952947
17167,15588,0.9999446964357637,17011,0.9999816585845792,13116,0.9999942291659609,16937,0.9999956163240492,9552,0.999998531503981
17166,5110,0.9999927854723389,8190,0.9999928140327095,355,0.9999936180329082,13869,0.9999982972482023,10867,0.9999984408527601
17164,50,0.5801591640324711,9192,0.5914287888294292,9000,0.9044525841925775,8885,0.9993542912982737,11567,0.9999219541564678
17163,9062,0.586746452527039,2237,0.5889866054234651,11322,0.5970434161965279,1906,0.603769826047566,12534,0.6115951687570306
17161,16878,0.9999985469093555,16885,0.9999986186589145,16843,0.9999998909190838,17149,0.999999992865631,17151,0.9999999981632249
17160,11227,0.9999736664432091,2075,0.9999830455648991,15298,0.9999911844267069,8084,0.9999929473420051,11165,0.9999952456230777
17159,9401,0.7992631750178969,3004,0.8421386150376242,3182,0.9998362187106666,2012,0.9998425960657007,14609,0.9998457334891782
17158,2207,0.9984267118634498,6358,0.9990263503793642,7156,0.9997522797419867,7985,0.999923373519242,7099,0.9999571562813198
17157,17043,0.9999999542038827,17042,0.9999999542038827,17077,0.9999999991990487,17056,0.9999999992193312,17054,0.9999999992193312
17156,16920,0.9999986181312337,17069,0.9999998997725107,17155,1.0,16891,1.0,16890,1.0
17155,16920,0.9999986181312337,17069,0.9999998997725107,17156,1.0,16891,1.0,16890,1.0
17152,14145,0.9999315843517713,6726,0.999933117438714,8214,0.999933266803864,1206,0.9999347343390277,10186,0.9999398089939132
17151,16878,0.9999986483963377,16885,0.9999987175627328,16843,0.9999999173312717,17161,0.9999999981632249,17149,0.9999999982688069
17150,13414,0.9995277153623655,2273,0.9999447265290048,6412,0.9999581128694232,17016,0.9999883765870005,17029,0.99999914369271
17149,16878,0.999998743409119,16885,0.9999988100676837,16843,0.9999999394580416,17161,0.999999992865631,17151,0.9999999982688069
17147,17146,0.9999995750894501,17073,0.9999998441470338,17072,0.9999998654331522,17071,0.9999998654331522,17115,0.9999999451498018
17146,17072,0.9999989622820759,17071,0.9999989622820759,17115,0.9999992149111558,17147,0.9999995750894501,17070,0.9999998239835769
17145,17133,0.9999999290584318,14070,0.9999999697515182,17119,0.9999999732020356,17122,0.9999999811616501,17116,0.9999999811616501
17144,7721,0.9998962397447857,9733,0.9998965885725786,12223,0.9998971342536411,13239,0.9998973402601657,4836,0.9999205153153228
17143,13599,0.7710255113931567,12741,0.9945917621264697,6187,0.9954857897061987,3773,0.9992949676417916,12738,0.9999624743387153
17142,683,0.9999624780499721,11376,0.9999626125727186,3396,0.9999626898078814,11988,0.9999627008276045,9238,0.9999627983706625
17141,8462,0.9999428132232843,9053,0.9999481835870441,10282,0.999965568597893,15051,0.9999672552362308,10354,0.9999756255640344
