Number,W2V_glove_0,W2V_glove_score0,W2V_glove_1,W2V_glove_score1,W2V_glove_2,W2V_glove_score2,W2V_glove_3,W2V_glove_score3,W2V_glove_4,W2V_glove_score4
17186,,,,,,,,,,
17185,4170,0.9999624736057073,4723,0.9999667769508773,12866,0.999994534145983,453,0.9999947851478227,17182,1.0
17184,13718,0.4941228198419718,1737,0.4942350139357555,2678,0.4947608853604802,10900,0.4950199321685733,9344,0.5816764840789297
17183,3770,0.3408527219476465,6901,0.34437619239746775,888,0.3524000380010649,163,0.9969571236689305,3285,0.9969972525771074
17182,4170,0.9999624736057073,4723,0.9999667769508773,12866,0.999994534145983,453,0.9999947851478227,17185,1.0
17181,7718,0.9998141849866725,3144,0.9998143587879288,1858,0.9998181040070379,2857,0.999821043566024,4203,0.9998477628391682
17180,8490,0.9999782271719947,9954,0.9999782285044078,12926,0.9999782350578044,10421,0.9999786452938962,1646,0.9999787218587536
17179,,,,,,,,,,
17178,,,,,,,,,,
17177,15380,0.6085137817878624,6397,0.6087733289412248,9703,0.6088406134020589,3281,0.6096283337292775,14537,0.6098035008996776
17174,17043,0.9999931757374185,17042,0.9999931757374185,17172,0.9999933163897811,17173,0.9999960702778176,5372,0.9999967982955865
17173,17054,0.9999993123992891,17077,0.9999994913186119,17043,0.9999996031246348,17042,0.9999996031246348,17172,0.9999996364884663
17172,17056,0.9999999487892606,17054,0.9999999487892606,17077,0.999999987833927,17043,0.999999999267686,17042,0.999999999267686
17171,7898,0.6047648812950674,411,0.6089729560359024,7618,0.6427658207320158,15675,0.6435172114070544,14973,0.999406095989263
17170,16935,0.9999998984819315,17030,1.0,16882,1.0,16573,1.0,16555,1.0
17169,4443,0.7379340516825834,7833,0.7381136422186356,8692,0.7417174027962808,12334,0.7569766178269418,12650,0.7640078821886949
17168,6910,0.9999845115628846,10814,0.9999845374585917,13607,0.9999850866241714,6564,0.9999856553333482,1927,0.9999858206210641
17167,15588,0.9999451936714204,17011,0.9999871584773228,13116,0.9999939996533248,16937,0.9999972843452597,9552,0.999999316602245
17166,8190,0.9999935682285453,355,0.9999942756965801,5110,0.9999954398163983,13869,0.9999956044678208,10867,0.9999985187214642
17164,12745,0.26890806738104084,10594,0.2708293724881054,9000,0.8034975996721144,8885,0.9985160765124056,11567,0.9998840797416403
17163,5081,0.33833741900611425,14565,0.3388895354797102,15433,0.400078637184223,11322,0.49041144524844643,10470,0.490803888021943
17161,16878,0.999995976918894,16885,0.9999961720607334,16843,0.999999667130706,17149,0.9999999803727408,17151,0.9999999949457987
17160,1623,0.9999730096146381,2075,0.9999747904560146,8084,0.9999884995865007,15298,0.9999915453962889,11165,0.9999917416889802
17159,15502,0.3034740401176544,11587,0.32147440194257537,3182,0.9998369721669099,14609,0.9998743990626366,2012,0.9998748198428431
17158,2207,0.9992577741356324,6358,0.9994648893283211,7156,0.9997863939630071,7985,0.9999348541583892,7099,0.9999599123795668
17157,17043,0.9999999326509584,17042,0.9999999326509584,17077,0.9999999689259575,17056,0.999999996366281,17054,0.999999996366281
17156,16920,0.9999970340599842,17069,0.9999997849559504,17155,1.0,16891,1.0,16890,1.0
17155,16920,0.9999970340599842,17069,0.9999997849559504,17156,1.0,16891,1.0,16890,1.0
17152,6886,0.9998499993583831,14740,0.9998508724102729,1206,0.9998552123961351,6726,0.9998590795849768,10186,0.9998753946648188
17151,16878,0.9999962570535608,16885,0.9999964451929038,16843,0.9999997439464253,17161,0.9999999949457987,17149,0.999999995238389
17150,13414,0.9994735502737121,2273,0.9999485632677242,6412,0.9999661234659148,17016,0.999991777775305,17029,0.9999994807402002
17149,16878,0.9999965192917151,16885,0.9999967006342593,16843,0.9999998088373587,17161,0.9999999803727408,17151,0.999999995238389
17147,17146,0.9999997059820027,17073,0.9999998754251764,17072,0.9999998916254877,17071,0.9999998916254877,17115,0.9999999618860202
17146,17072,0.9999992405979844,17071,0.9999992405979844,17115,0.9999994561496458,17147,0.9999997059820027,17070,0.9999998926228032
17145,17133,0.9999999672350797,14070,0.9999999729310645,17119,0.9999999811141176,17122,0.9999999867220739,17116,0.9999999867220739
17144,14535,0.9999233424643305,4836,0.9999252153976034,6986,0.9999256494355828,8242,0.9999257374348491,16578,0.9999264750946462
17143,13599,0.7988101217334524,12741,0.9953954274735939,6187,0.9972484375763164,3773,0.9989430537860737,12738,0.9998763572332414
17142,15904,0.9998837916568171,1637,0.9998839566296369,10159,0.9998843586412595,13974,0.999886786976923,11201,0.9999128195854208
17141,2939,0.9999666502851139,15051,0.9999706671912605,9053,0.9999708088650797,10354,0.9999756753280121,10282,0.9999806667241672
17140,13574,0.9998620563512115,13180,0.9998620563512115,8956,0.9998620563512115,8711,0.9998620563512115,14432,0.9998653076877718
17139,10137,0.9999635657694051,13209,0.9999640932956183,6534,0.9999653588647325,3691,0.9999670750103882,14888,0.9999686198776996
17138,14305,0.9999977759384272,14420,0.9999979560273408,12200,0.9999989990767655,14128,0.9999992442819055,17065,0.999999251490889
17137,14851,0.9999603668660181,5251,0.999968719986744,12452,0.99997004359003,13331,0.9999730897884989,5315,0.9999736776666955
17136,16547,0.9999990352224493,16517,0.9999997766710796,16913,0.9999999462162303,16656,0.9999999499922485,16582,1.0
17135,15074,0.9999909076274605,16455,0.9999938300895799,8869,0.9999967545862126,15271,0.9999971739243044,15139,0.9999986015487169
17134,6399,0.9999992107015794,17128,0.9999995919213474,17015,0.9999999297184219,17017,0.9999999843674614,8042,0.9999999866188095
17133,17122,0.999999995672866,17116,0.999999995672866,17018,0.9999999959776229,14070,0.9999999978948884,17119,0.9999999981003539
17132,17073,0.9999998132230864,17018,0.9999998369912355,17059,0.999999908227342,17099,0.9999999765075147,17022,0.9999999959620913
17131,7016,0.544443176551118,10540,0.545121814782385,13073,0.5451971715736678,10614,0.5464743426286295,17130,0.9999969471809838
17130,7016,0.5444354569141729,10540,0.5451112840156729,13073,0.5451911154442356,10614,0.5464620271580884,17131,0.9999969471809838
17129,17017,0.9999984826958094,17015,0.9999988421843993,4192,0.9999992897013055,17128,0.9999995067536227,6399,0.9999997930355857
17128,17129,0.9999995067536227,17134,0.9999995919213474,17017,0.9999997177847817,17015,0.9999998603454493,6399,0.999999936757599
17126,6399,0.9999959258074452,9283,0.9999960894369523,5153,0.9999962773487042,17129,0.9999975520248652,4192,0.9999994785535687
17124,5395,0.7096186068797906,11871,0.7100117253060311,3201,0.7122863708338307,12549,0.7225978577569201,580,0.7240589443783709
17123,7576,0.9999941949284986,10753,0.9999947339701545,13217,0.9999954143507058,12090,0.9999985728227732,16540,0.9999999935962833
17122,17145,0.9999999867220739,17133,0.999999995672866,14070,0.9999999964037334,17119,0.9999999995073356,17116,1.0
17121,11536,0.910669946605524,11559,0.9111348414005429,8841,0.9123419545759497,13045,0.9129650272805002,15065,0.9168191510146029
17120,1372,0.7416733891995776,10775,0.7419582011173409,5510,0.7422464593736318,14054,0.7431197906852294,11871,0.7477294320729851
17119,17018,0.9999999885494736,14070,0.9999999978742193,17133,0.9999999981003539,17122,0.9999999995073356,17116,0.9999999995073356
17118,3861,0.9987576860741718,3203,0.9987642389069153,2772,0.9987855119176299,16616,0.9987930295881438,3783,0.998794711544872
17117,11665,0.9999874381868861,10350,0.9999894779053764,14856,0.9999909189070736,14899,0.9999909267879323,1925,0.9999927836826523
17116,17145,0.9999999867220739,17133,0.999999995672866,14070,0.9999999964037334,17119,0.9999999995073356,17122,1.0
17115,17022,0.9999997229494025,17147,0.9999999618860202,17073,0.9999999751232671,17072,0.999999982050741,17071,0.999999982050741
17114,1751,0.24029004673474672,16510,0.2410120633604836,16912,0.25541493208180127,7276,0.9992521303933753,16194,0.9993808968663008
17113,11992,0.9999851402469088,1518,0.9999862264839746,2459,0.9999866953019788,4608,0.9999871253981963,11193,0.9999873144001007
17112,14895,0.3928227954875233,4509,0.4224817015114594,13756,0.42286992416968744,2600,0.4573213503894299,1565,0.5327611068912094
17111,10322,0.9998634345049766,2860,0.9998635650080557,15761,0.999864090439041,13293,0.9998647983144656,3960,0.9998655569517884
17110,10746,0.5963876825894422,5324,0.6216629196292986,11537,0.999796709738258,16321,0.9999132959713757,9881,0.9999169957154727
17109,12791,0.829789606929117,984,0.830288584736668,11687,0.8307882174925604,14046,0.8308635410624663,1574,0.8343744463268498
17108,13716,0.9999607111056307,10326,0.9999643065700374,9649,0.9999719794465153,5964,0.9999744621769698,16068,0.9999786925908732
17107,4513,0.9999761432955446,12699,0.9999771701771984,3491,0.999977205032043,6976,0.9999772172183536,13917,0.999978835105636
17100,,,,,,,,,,
17099,17133,0.9999999014711272,17018,0.9999999372643321,17022,0.9999999529903375,17132,0.9999999765075147,17059,0.9999999775996531
17098,1051,0.40362742610323027,8222,0.4036395361875213,15283,0.403831961412565,1561,0.40405965726646514,8135,0.40455023077876384
17096,15207,0.9999998170853901,15040,0.9999999833976336,16884,0.9999999957573905,13296,0.9999999957573905,16928,1.0
17094,13735,0.5023204609400379,8255,0.502657076525101,16106,0.5034334119260635,384,0.5064246328727802,781,0.8403834818924117
17093,7144,0.9964934025390951,15000,0.9965753085495493,16036,0.9967693197835928,9722,0.9973761743184526,2366,0.9990355157414117
17092,4351,0.9187748167137794,4983,0.9195053670316542,14316,0.9199374024645263,1339,0.9203740692743599,3725,0.9335491092251252
17091,15165,0.9931243954673252,15134,0.9931377666347956,16259,0.9932801695748326,16072,0.993455581276904,12743,0.9934870614676367
17090,365,0.574380378294836,243,0.5753202479450382,13169,0.5754085721044467,11111,0.5774391548009014,16008,0.659350772419756
17089,1887,0.3061721456586225,9305,0.3127144317959991,11385,0.9991948804840225,11885,0.9992124628415475,11510,0.9997506336164073
17088,1594,0.9998086966537689,6079,0.9998145676355521,6196,0.999823128943848,14702,0.9998278780984655,8786,0.9999651044154131
17087,6288,0.9999910002466084,5680,0.9999910007210349,12980,0.999991020759528,838,0.999991396572444,11242,0.9999917025717945
17086,15330,0.9999989055587648,12757,0.9999989768611626,11931,0.9999996382010838,15341,0.9999998281057972,16744,0.9999999213779595
17085,4020,0.9989063661470575,15643,0.9989074912470027,2545,0.9989126639335771,15569,0.9989158380070364,16543,0.9989160063278976
17084,4675,0.9997797042054065,8350,0.99987946699998,4475,0.9999704065405423,7081,0.999973399772856,10536,0.9999862490420932
17083,13209,0.9999857112886645,17076,0.9999999263444879,17081,0.999999962511763,17082,0.9999999967341723,17080,0.999999999150332
17082,13209,0.9999861317706626,17076,0.9999999540977627,17081,0.9999999813755645,17080,0.9999999925529169,17083,0.9999999967341723
17081,13209,0.9999871094970598,17080,0.9999999503744837,17083,0.999999962511763,17082,0.9999999813755645,17076,0.9999999939507848
17080,13209,0.9999854943035517,17076,0.9999999096729737,17081,0.9999999503744837,17082,0.9999999925529169,17083,0.999999999150332
17079,16885,0.9999297729286114,16843,0.9999510039951881,17149,0.9999569034049308,17151,0.9999578039269292,17161,0.9999587217367166
17078,15862,0.9905658599635044,15693,0.9905936578706356,8153,0.9906158212131544,15682,0.9908105360314172,17062,0.9908725305726417
17077,17056,0.9999999865444685,17054,0.9999999865444685,17172,0.999999987833927,17043,0.9999999930713299,17042,0.9999999930713299
17076,13209,0.9999876500659457,17080,0.9999999096729737,17083,0.9999999263444879,17082,0.9999999540977627,17081,0.9999999939507848
17075,4038,0.6509171665693032,11643,0.6509816777676992,975,0.999808913795305,8748,0.9999358897770035,8286,0.9999409189972689
17074,10328,0.35352106882470435,9261,0.3535490108100089,12883,0.3536383711758433,3158,0.35897946719874413,71,0.3590574997638856
17073,17022,0.9999998641101283,17147,0.9999998754251764,17115,0.9999999751232671,17072,0.9999999994359968,17071,0.9999999994359968
17072,17022,0.9999998460370048,17147,0.9999998916254877,17115,0.999999982050741,17073,0.9999999994359968,17071,1.0
17071,17022,0.9999998460370048,17147,0.9999998916254877,17115,0.999999982050741,17073,0.9999999994359968,17072,1.0
17070,17072,0.9999985621098596,17071,0.9999985621098596,17115,0.999998865463759,17147,0.9999992432417879,17146,0.9999998926228032
17069,16920,0.9999984162699891,17156,0.9999997849559504,17155,0.9999997849559504,16891,0.9999997849559504,16890,0.9999997849559504
17068,7414,0.7760027519257975,16129,0.7761450329014733,16575,0.7770845772950327,4109,0.7784456678703762,3741,0.9989979575770186
17067,2292,0.22969366082627016,12324,0.23383030413030984,9450,0.25096440806973613,16857,0.25250635997259085,6446,0.2525451258743327
17066,9649,0.9991045121251412,16068,0.9991080150684328,5509,0.9991084525102573,17108,0.9991253594400216,5964,0.999153615587448
17065,6172,0.9999953691147839,12763,0.9999956295789735,12200,0.99999651945306,14128,0.9999969915721605,17138,0.999999251490889
17064,16908,0.9999903394976519,14068,0.9999944436756071,13914,0.9999944436756071,16179,0.9999975710076245,14379,0.9999999594404357
17063,5492,0.99882751138184,13462,0.9988456206232345,4631,0.9988663396927976,13569,0.9988672390344949,13544,0.9995476859953342
17062,4421,0.9999155781504437,8300,0.9999161971696213,13812,0.9999162297745113,9220,0.9999166883008934,7606,0.999926128567879
17061,4031,0.9993475449082336,1126,0.999902669359436,1622,0.9999233194316017,9308,0.9999248387830346,2681,0.9999272856898633
17060,14850,0.9999649752414382,2860,0.9999654883370511,2809,0.9999662817459235,15473,0.9999662997560828,13085,0.9999996846647101
17059,17119,0.9999999568147688,14070,0.9999999638403213,17133,0.9999999730299358,17099,0.9999999775996531,17018,0.9999999898386642
17058,154,0.9998894818207652,7868,0.9999187159612303,6964,0.9999444776453198,3799,0.9999586216858829,12222,0.999959520884575
17057,14656,0.9999885592669374,14542,0.9999886798410569,13283,0.999988800779036,11439,0.9999934413696842,10878,0.9999951593822675
17056,17043,0.9999999603047728,17042,0.9999999603047728,17077,0.9999999865444685,17157,0.999999996366281,17054,1.0
17055,16922,0.9999994391980196,17012,0.9999995015541585,16876,0.9999995725156045,16934,0.9999995986406487,17006,0.9999996235386771
17054,17043,0.9999999603047728,17042,0.9999999603047728,17077,0.9999999865444685,17157,0.999999996366281,17056,1.0
17052,13737,0.9999998812300424,17036,0.9999998926149614,16940,0.9999998926149614,15998,1.0,14310,1.0
17051,13656,0.9999993004321637,6217,0.9999994252593775,7874,0.9999995635340766,13860,0.9999998817633112,10486,0.9999999851728116
17050,3877,0.9999567826083542,1853,0.9999625573170042,13821,0.9999627655834906,7548,0.9999642616223983,1537,0.9999644873704961
17049,4355,0.9993516159557424,3855,0.9993531287581863,11811,0.999372517216363,14203,0.9995934318222982,13285,0.9999812763568553
