Number,W2V_google_0,W2V_google_score0,W2V_google_1,W2V_google_score1,W2V_google_2,W2V_google_score2,W2V_google_3,W2V_google_score3,W2V_google_4,W2V_google_score4
17186,,,,,,,,,,
17185,4170,0.999961165566813,4723,0.999976357715678,453,0.9999922947120939,12866,0.9999932924919304,17182,1.0
17184,12349,0.5762662314774118,15438,0.5765215530969695,6893,0.5770614339258949,6927,0.5775661560531419,217,0.5790593379969846
17183,12125,0.43777400597739463,13449,0.4515643980929232,888,0.45733482768416567,163,0.997363334893745,3285,0.9973955407821985
17182,4170,0.999961165566813,4723,0.999976357715678,453,0.9999922947120939,12866,0.9999932924919304,17185,1.0
17181,3144,0.9996751419566313,7718,0.9996843944158587,2857,0.9996863963314964,1858,0.9997023306696344,4203,0.9997170006791763
17180,7813,0.9999872526922161,11416,0.9999873872305948,1646,0.9999876205747674,5706,0.9999877683973897,3558,0.9999883602643502
17179,,,,,,,,,,
17178,,,,,,,,,,
17177,14548,0.43060294704644136,16402,0.43064835650839,11456,0.43083131347493325,15563,0.43120955964738167,1005,0.43353089960712243
17174,17172,0.9999896451199091,13883,0.9999900481822059,9281,0.9999904551682262,17173,0.9999938263087083,5372,0.999995307953916
17173,17056,0.9999989845590088,17054,0.9999989845590088,17043,0.9999994131597304,17042,0.9999994131597304,17172,0.9999994624001728
17172,17157,0.9999999034206009,17056,0.9999999246612524,17054,0.9999999246612524,17043,0.9999999989213346,17042,0.9999999989213346
17171,7618,0.5776769914144565,15675,0.5783492438445348,12499,0.5889861349808205,11804,0.5896482547088732,14973,0.9995791485482415
17170,16935,0.9999999118840572,17030,1.0,16882,1.0,16573,1.0,16555,1.0
17169,4443,0.8754887391893508,8290,0.8754951702692723,16805,0.8755762894330772,8692,0.8766693290653185,12650,0.882700424992613
17168,6910,0.99998956190757,11075,0.9999897428732213,1019,0.9999901583908815,1927,0.9999914266226783,6564,0.9999924773764863
17167,15588,0.9999602187029841,17011,0.9999900291861482,13116,0.9999962004499647,16937,0.9999976893938131,9552,0.9999993285612306
17166,5110,0.999994937386181,355,0.9999954273029527,8190,0.9999954939100075,13869,0.9999973105515402,10867,0.9999987603653212
17164,14721,0.4992780938093801,13561,0.5024843546036042,9000,0.9122204618200443,8885,0.9995218453671344,11567,0.9999143995266903
17163,4322,0.42640145315246464,2799,0.4264930425759952,385,0.4265011382126972,1887,0.4274110477456333,11322,0.5873318950048672
17161,16896,0.9999964136589751,16878,0.9999964136589751,16885,0.9999965897054597,17149,0.9999999821925583,17151,0.9999999954129847
17160,11227,0.9999629555280772,2075,0.9999751500537962,15298,0.9999842483241037,8084,0.9999906074536639,11165,0.9999938473906779
17159,13901,0.7022216086245099,3004,0.7870614566523759,3182,0.9998612702601715,14609,0.9998951115315392,2012,0.9999138074501359
17158,2207,0.9985875129301485,6358,0.9991350418494344,7156,0.9996479454393906,7985,0.9999400183562445,7099,0.9999629932462002
17157,17043,0.9999999227553361,17042,0.9999999227553361,17077,0.9999999986489488,17056,0.999999998682802,17054,0.999999998682802
17156,16920,0.9999960261590846,17069,0.9999997120430076,17155,1.0,16891,1.0,16890,1.0
17155,16920,0.9999960261590846,17069,0.9999997120430076,17156,1.0,16891,1.0,16890,1.0
17152,2990,0.9998524208469274,1206,0.9998616058838135,6726,0.9998641038486413,10186,0.9998642773147937,6886,0.9998647642607063
17151,16896,0.9999966655897509,16878,0.9999966655897509,16885,0.9999968352611349,17161,0.9999999954129847,17149,0.9999999956812735
17150,13414,0.9996917443338503,2273,0.9999612346288449,6412,0.9999745216181872,17016,0.9999948467626433,17029,0.9999996495970398
17149,16896,0.9999969012726723,16878,0.9999969012726723,16885,0.9999970647581856,17161,0.9999999821925583,17151,0.9999999956812735
17147,17146,0.9999996251642492,17073,0.9999998598124932,17072,0.9999998789586725,17071,0.9999998789586725,17115,0.9999999506625915
