Number,score_0,score_1,score_2,score_3,score_4,similar_0,similar_1,similar_2,similar_3,similar_4
17186,1.0,1.0,1.0,1.0,1.0,16112,14058,14040,12476,11957
17185,0.8903702362630008,0.8911785053157962,0.8925440963655444,0.8929383517701044,1.0,11026,10164,10821,10181,17182
17184,0.9130627788011918,0.9131926902800422,0.9150057031823523,0.919519793052291,0.9236808178706108,14440,12115,13994,5619,9789
17183,0.8761646995954624,0.8784047655841944,0.8785439179627736,0.8808389289034165,0.8857439043517794,17163,17171,17020,17019,16871
17182,0.8903702362630008,0.8911785053157962,0.8925440963655444,0.8929383517701044,1.0,11026,10164,10821,10181,17185
17181,0.9228049293018367,0.9248908114051813,0.9326075746888978,0.9342765403204134,0.9345921594718584,7984,7250,14117,16671,6360
17180,0.8618148863664226,0.8625963049993578,0.8662406947313541,0.867346729647404,0.8715478177176907,9027,7391,16877,7134,15887
17179,1.0,1.0,1.0,1.0,1.0,17178,17100,14157,13618,11589
17178,1.0,1.0,1.0,1.0,1.0,17179,17100,14157,13618,11589
17177,0.8930514147511402,0.8951467047315945,0.8958318760839212,0.8989132438811932,0.925651521853149,15981,8478,1241,3753,8576
17174,0.9184043707526907,0.9211690111555034,0.9221676357007339,0.9250946003033697,0.9251019063996982,12530,15735,9992,6204,10359
17173,0.9028830237014857,0.9033360671729546,0.9040004149525223,0.9102400360952972,0.9129654734636766,15292,11200,8471,15522,17116
17172,0.9174719738665653,0.9199157530379473,0.920354921241906,0.9253672857401406,0.9253959374218076,17119,17099,17150,17059,17018
17171,0.9769431608551111,0.9845597609908145,0.9864443718931789,0.9874828817038125,0.9960512068177223,16849,16882,16847,17030,17170
17170,0.9837081341665536,0.9895310321479133,0.9903693405080097,0.9930164537116083,0.9960512068177223,16849,16847,16882,17030,17171
17169,0.7414731173756777,0.7414731173756777,0.7414731173756777,0.7414731173756777,0.7423137811194989,982,279,175,151,17025
17168,0.8896820745490709,0.8897264960045642,0.891254231692176,0.8934271753722989,0.8949504937980288,4325,15478,16421,15869,639
17167,0.8309092842462061,0.8309915938892866,0.8365198723085324,0.8425892153463245,0.8702391436045644,14199,8914,5638,6262,13653
17166,0.94228595285445,0.9429086296730341,0.9438114819492209,0.956825703543916,0.9610045580745313,15216,16730,16713,16644,16786
17164,0.8567213181478747,0.8615748771272314,0.8619708984377388,0.8629081276603477,0.8647620055251471,16472,14785,5256,15326,17075
17163,0.9513639842246714,0.9514731701361814,0.9529121670329272,0.9547855018358911,0.9555361795442864,17108,17030,17171,16905,16847
17161,0.9973642680808263,0.9973642680808263,0.997873375705869,0.9979501780689121,0.9991190181491031,17083,17081,17082,17151,17064
17160,0.9734769346418549,0.9741177440955395,0.9752799025001079,0.9757293875677833,0.975998670331877,17171,16850,16849,16848,17170
17159,0.9024724440889481,0.9030096869333821,0.9046324669965855,0.9069370333508133,0.9145405099747899,10921,14734,12353,12199,10038
17158,0.9224304279905158,0.9233759188211539,0.9260148757391352,0.9262915555820449,0.9286379692791316,16832,16319,16686,16259,16867
17157,0.9057789070649698,0.9058545602838106,0.9092528684207614,0.9131667230035869,0.9141959239486224,17133,17134,17145,17119,17150
17156,0.995242752976748,0.9955170958614165,1.0,1.0,1.0,17069,16920,17155,16891,16890
17155,0.995242752976748,0.9955170958614165,1.0,1.0,1.0,17069,16920,17156,16891,16890
17152,0.9604434212273458,0.9614706203147105,0.9638535007297007,0.9646743563877836,0.9652173384754933,17171,17040,16848,17170,16882
17151,0.9958832713683198,0.9966760325421369,0.9979019003912126,0.9979207127966502,0.9979501780689121,17080,17082,17012,17064,17161
17150,0.9563602645704383,0.957604110310009,0.962637806397417,0.9714154421293454,0.9752330112571492,17059,17017,17134,17145,17119
17149,0.9992650231376635,0.9992650231376635,0.9992650231376635,0.9993750900453503,1.0,17083,17081,16910,16908,16896
17147,0.9295472597166189,0.9303325124183777,0.9313117056735367,0.9335178405326536,0.9385139888538769,11885,6594,14246,5438,10038
17146,0.8934868294185287,0.8952901513443116,0.896182334123118,0.9034092048401565,0.9040422670559335,2950,15085,14675,14993,14309
17145,0.9714154421293454,0.9746971188045039,0.9780412724082295,0.9864077093440411,0.9896536456120405,17150,17122,17017,17119,17134
17144,0.9442260324288813,0.9463343512404061,0.952989846932751,0.9630137365850896,0.9641748096632656,17008,15892,15664,17143,17142
17143,0.9405703592696615,0.9442673825145685,0.9449403612489599,0.9630137365850896,0.9919229384526392,17139,17026,15892,17144,17142
17142,0.9421359308500449,0.9448833781944262,0.9479188606383627,0.9641748096632656,0.9919229384526392,17026,17140,15892,17144,17143
17141,0.8488019718780577,0.8513391280707051,0.8525069510772175,0.8528114035875043,0.8621683866807408,15670,14600,3302,15573,5256
17140,0.9576184749335943,0.9578061298412966,0.9590233145395426,0.9606748045386815,0.9665158161068381,16850,16845,16849,16913,17139
17139,0.9518268326244347,0.9530045755349956,0.9541423264478475,0.9626369735518978,0.9665158161068381,17024,16913,17026,16915,17140
17138,0.9007617690031459,0.905475799582859,0.9082228252356394,0.9134398027870207,0.9949267896177987,14133,5024,15719,13794,17137
17137,0.9084368391948799,0.9110726400009673,0.9127249501578293,0.9160271360967827,0.9949267896177987,16455,14133,13794,9692,17138
17136,0.9326795289236589,0.9338944098469332,0.9339262845259904,0.9407368496490284,0.941783120796651,17143,17144,17040,15892,17142
17135,0.9197429388603047,0.9241424981437468,0.932223784539615,0.9359676874476575,0.9418137809464654,1434,9824,15690,15482,16819
17134,0.9646888471250316,0.9714832607666474,0.9717258603602675,0.9863298166467982,0.9896536456120405,17059,17017,17122,17119,17145
17133,0.9620322912185674,0.9653612554325077,0.9654255341113098,0.9733168969571476,0.9766379317858762,17122,17145,17119,17128,17132
