Number,score_0,score_1,score_2,score_3,score_4,similar_0,similar_1,similar_2,similar_3,similar_4
17186,1.0,1.0,1.0,1.0,1.0,16112,14058,14040,12476,11957
17185,0.890370236263001,0.891178505315796,0.892544096365544,0.892938351770104,1.0,11026,10164,10821,10181,17182
17184,0.913062778801192,0.913192690280042,0.915005703182352,0.919519793052291,0.923680817870611,14440,12115,13994,5619,9789
17183,0.876164699595462,0.878404765584195,0.878543917962774,0.880838928903417,0.885743904351779,17163,17171,17020,17019,16871
17182,0.890370236263001,0.891178505315796,0.892544096365544,0.892938351770104,1.0,11026,10164,10821,10181,17185
17181,0.922804929301837,0.924890811405181,0.932607574688898,0.934276540320413,0.934592159471858,7984,7250,14117,16671,6360
17180,0.861814886366423,0.862596304999358,0.866240694731354,0.867346729647404,0.871547817717691,9027,7391,16877,7134,15887
17179,1.0,1.0,1.0,1.0,1.0,17178,17100,14157,13618,11589
17178,1.0,1.0,1.0,1.0,1.0,17179,17100,14157,13618,11589
17177,0.89305141475114,0.895146704731595,0.895831876083921,0.898913243881193,0.925651521853149,15981,8478,1241,3753,8576
17174,0.918404370752691,0.921169011155503,0.922167635700734,0.92509460030337,0.925101906399698,12530,15735,9992,6204,10359
17173,0.902883023701486,0.903336067172955,0.904000414952522,0.910240036095297,0.912965473463677,15292,11200,8471,15522,17116
17172,0.917471973866565,0.919915753037947,0.920354921241906,0.925367285740141,0.925395937421808,17119,17099,17150,17059,17018
17171,0.976943160855111,0.984559760990815,0.986444371893179,0.987482881703812,0.996051206817722,16849,16882,16847,17030,17170
17170,0.983708134166554,0.989531032147913,0.99036934050801,0.993016453711608,0.996051206817722,16849,16847,16882,17030,17171
17169,0.741473117375678,0.741473117375678,0.741473117375678,0.741473117375678,0.742313781119499,982,279,175,151,17025
17168,0.889682074549071,0.889726496004564,0.891254231692176,0.893427175372299,0.894950493798029,4325,15478,16421,15869,639
17167,0.830909284246206,0.830991593889287,0.836519872308532,0.842589215346325,0.870239143604564,14199,8914,5638,6262,13653
17166,0.94228595285445,0.942908629673034,0.943811481949221,0.956825703543916,0.961004558074531,15216,16730,16713,16644,16786
17164,0.856721318147875,0.861574877127231,0.861970898437739,0.862908127660348,0.864762005525147,16472,14785,5256,15326,17075
17163,0.951363984224671,0.951473170136181,0.952912167032927,0.954785501835891,0.955536179544286,17108,17030,17171,16905,16847
17161,0.997364268080827,0.997364268080827,0.997873375705869,0.997950178068912,0.999119018149103,17083,17081,17082,17151,17064
17160,0.973476934641855,0.97411774409554,0.975279902500108,0.975729387567783,0.975998670331877,17171,16850,16849,16848,17170
17159,0.902472444088948,0.903009686933382,0.904632466996586,0.906937033350813,0.91454050997479,10921,14734,12353,12199,10038
17158,0.922430427990516,0.923375918821154,0.926014875739135,0.926291555582045,0.928637969279132,16832,16319,16686,16259,16867
17157,0.90577890706497,0.905854560283811,0.909252868420761,0.913166723003587,0.914195923948622,17133,17134,17145,17119,17150
17156,0.995242752976748,0.995517095861416,1.0,1.0,1.0,17069,16920,17155,16891,16890
17155,0.995242752976748,0.995517095861416,1.0,1.0,1.0,17069,16920,17156,16891,16890
17152,0.960443421227346,0.96147062031471,0.963853500729701,0.964674356387784,0.965217338475493,17171,17040,16848,17170,16882
17151,0.99588327136832,0.996676032542137,0.997901900391213,0.99792071279665,0.997950178068912,17080,17082,17012,17064,17161
17150,0.956360264570438,0.957604110310009,0.962637806397417,0.971415442129345,0.975233011257149,17059,17017,17134,17145,17119
17149,0.999265023137664,0.999265023137664,0.999265023137664,0.99937509004535,1.0,17083,17081,16910,16908,16896
17147,0.929547259716619,0.930332512418378,0.931311705673537,0.933517840532654,0.938513988853877,11885,6594,14246,5438,10038
17146,0.893486829418529,0.895290151344312,0.896182334123118,0.903409204840157,0.904042267055934,2950,15085,14675,14993,14309
17145,0.971415442129345,0.974697118804504,0.97804127240823,0.986407709344041,0.989653645612041,17150,17122,17017,17119,17134
17144,0.944226032428881,0.946334351240406,0.952989846932751,0.96301373658509,0.964174809663266,17008,15892,15664,17143,17142
17142,0.942135930850045,0.944883378194426,0.947918860638363,0.964174809663266,0.991922938452639,17026,17140,15892,17144,17143
